Molecule,d (D),Re (Ã…),omega (cm-1)
AgBr,5.62,2.393,247.7
AgCl,6.08,2.281,343.5
AgF,6.22,1.983,513.5
AgH,2.86,1.618,1759.9
AgI,4.55,2.545,206.5
AlF,1.515,1.654,802.3
AuF,4.32,1.918,539.4
AuO,2.94,1.849,624.59
AuS,2.22,2.156,410.19
BaF,3.17,2.163,468.9
BaO,7.955,1.94,669.8
BaS,10.86,2.507,379.4
BF,0.5,1.263,1402.1
BH,1.27,1.232,2366.9
BrCl,0.519,2.136,444.3
BrF,1.422,1.759,670.8
BrO,1.76,1.717,778.7
CaBr,4.36,2.594,285.3
CaCl,4.257,2.439,367.5
CaD,2.51,2.01,
CaF,3.07,1.967,581.1
CaH,2.53,2.003,1298.3
CaI,4.5968,2.829,238.7
CF,0.65,1.272,1308.1
CH,1.46,1.12,2858.5
ClD,1.1033,1.275,2145.2
ClF,0.85,1.628,786.2
ClH,1.1085,1.275,2990.9
ClO,1.239,1.57,853.8
CN,1.45,1.172,2068.6
CO,0.112,1.128,2169.8
CoF,2.82,,
CoH,1.88,,
CoO,4.18,1.621,
CrD,3.51,1.663,1182
CrN,2.31,1.5652,854.0
CrO,3.88,1.615,898.4
CS,1.958,1.535,1285.1
CsBr,10.82,3.072,149.7
CsCl,10.387,2.906,214.2
CSe,1.99,1.676,1035.4
CsF,7.8839,2.345,352.6
CsI,11.69,3.315,119.2
CuF,5.26,1.745,622.7
CuO,4.57,1.724,640.2
CuS,4.31,2.051,415
FeC,2.36,1.61,
FeH,2.63,,
FeO,4.7,1.6,970
GaF,2.4,1.774,622.2
GaBr,2.45,2.352,263
GeO,3.2824,1.625,985.5
GeS,2.0,2.012,575.8
GeSe,1.648,2.135,408.7
GeTe,1.06,2.34,323.9
DBr,0.823,1.415,1884.8
HBr,0.8272,1.414,2649.0
DF,1.819,0.917,2998.2
HF,1.826526,0.917,4138.3
HfF,1.66,1.85,
HfO,3.431,1.723,974.1
HI,0.448,1.609,2309.0
IBr,0.726,2.469,268.6
ICl,1.207,2.321,384.3
ID,0.316,1.609,1639.7
IF,1.948,1.91,610.2
InCl,3.79,2.401,317.4
InF,3.4,1.985,535.4
IO,2.45,1.868,681.5
IrC,1.6,1.683,1060.1
IrF,2.82,1.851,
IrN,1.67,1.609,
KBr,10.6281,2.821,213.0
KCl,10.2688,2.667,281.0
KF,8.59255,2.171,428.0
KI,10.82,3.048,186.5
LaO,3.207,1.826,812.8
LiBr,7.2262,2.17,563.2
LiCl,7.1289,2.021,643.3
LiF,6.32736,1.564,910.3
LiH,5.882,1.596,1405.7
LiI,7.4285,2.392,498.2
LiK,3.45,3.27,207.0
LiNa,0.47,2.81,256.8
LiO,6.84,1.695,851.5
LiRb,4.0,3.466,195.2
MgD,1.318,1.73,1077.9
MgO,6.2,1.749,785.1
MoC,6.07,,
MoN,3.38,1.63,
NaBr,9.1183,2.502,302.1
NaCl,9.002,2.361,366.0
NaCs,4.7,3.851,98.9
NaF,8.1558,1.926,536.0
NaH,6.4,1.889,1176.0
NaI,9.2357,2.711,258.0
NaK,2.693,3.589,124.1
NaRb,3.1,3.644,106.9
NbN,3.26,1.663,
NH,1.39,1.036,3282.3
NiH,2.4,1.476,1926.6
NO,0.157,1.151,1904.2
NS,1.86,1.494,1218.7
OD,1.653,0.97,2720.2
OF,0.0043,1.354,1028.7
OH,1.6498,0.97,3737.8
PbO,4.64,1.922,721.0
PbS,3.59,2.287,429.4
PbSe,3.29,2.402,277.6
PbTe,2.73,2.595,212.0
PN,2.7514,1.491,1337.2
PO,1.88,1.476,1233.3
PtC,0.99,1.677,1051.1
PtF,3.42,1.868,
PtN,1.977,1.682,
PtO,2.77,1.727,851.1
PtS,1.78,2.042,
RbBr,10.86,2.945,169.5
RbCl,10.51,2.787,228.0
RbF,8.5465,2.27,376.0
RbI,11.48,3.177,138.5
ReN,1.96,0.61,
RhN,2.43,1.64,
RhO,3.81,1.739,
RuF,5.34,1.916,
ScO,4.55,1.668,965.0
ScS,5.64,2.139,565.2
SD,0.7571,1.341,1885.5
SeF,1.52,1.741,757.0
SeD,0.48,1.47,1708.0
SeH,0.5,1.47,2400.0
SF,0.87,1.596,837.6
SH,0.758,1.341,2711.6
SiH,5.9,1.52,2041.8
SiO,3.0982,1.51,1241.6
SiS,1.73,1.73,749.6
SiSe,1.1,2.058,580.0
SnO,4.32,1.833,814.6
SnS,3.18,2.209,487.3
SnSe,2.82,2.326,331.2
SnTe,2.19,2.523,259.0
SO,1.55,1.481,1149.2
SrF,3.4676,2.075,502.4
SrO,8.9,1.92,653.5
ThO,3.534,1.84,895.8
ThS,4.58,2.35,477.0
TiH,2.455,,
TiO,3.34,1.62,1009.0
TiN,3.56,1.582,1039.0
TlBr,4.49,2.618,192.1
TlCl,4.5429,2.485,283.8
TlF,4.2282,2.084,477.3
TlI,4.61,2.814,143.0
VN,3.07,1.566,1033.0
VO,3.355,1.592,1011.3
VS,5.16,2.06,
WC,3.9,,
WN,3.77,1.67,
YbF,3.91,2.016,501.9
YF,1.82,1.926,631.3
YO,4.524,1.79,861.0
ZrO,2.551,1.712,969.8
